Title,Author,Source,Persona,Date_Collected,Trend_Reason,Trend_Category,Genre Tag(s),Series,Publisher,First_Publish_Year,Page_Count,Adaptation,Diversity_Rep,Content_Warnings,Description
Babel,R.F. Kuang,BookTok,Alex,25-Apr,BookTok rereads post-2022 hype,Series Continuation Hype,"Dark Academia, Alt-History, Speculative",No,Harper Voyager,2022,560,,Multiracial Cast,"Colonialism, death",Language is power — and blood is the price
Jackal,Erin E. Adams,BookTok,Alex,25-Apr,Black horror debut back on trend,Algorithmic Popularity (General Virality),"Horror, Thriller, Mystery",No,Bantam,2022,304,,Black,"Missing children, racism",A woman returns to her hometown — and its secrets
A Master of Djinn,P. Djèlí Clark,BookTok,Alex,25-Apr,Alt-history steampunk with African rep,Algorithmic Popularity (General Virality),"Fantasy, Mystery, Historical",Yes,Tor,2021,400,,Black,Murder mystery,"In 1912 Cairo, magic meets detectives"
Build Your House Around My Body,Violet Kupersmith,BookTok,Alex,25-Apr,Literary horror with Vietnamese folklore,Algorithmic Popularity (General Virality),"Horror, Spec Fic, Historical",No,Random House,2021,400,,Southeast Asian,"Possession, cultural hauntings","Women vanish, bodies shift, myths return"
American War,Omar El Akkad,BookTok,Alex,25-Apr,Near-future war fiction resurges,Algorithmic Popularity (General Virality),"Speculative, Dystopian, War",No,Vintage,2017,352,,,Political violence,A second Civil War — and one girl caught in it
The Other Black Girl,Zakiya Dalila Harris,BookTok,Alex,25-Apr,Satirical horror of office politics,Algorithmic Popularity (General Virality),"Thriller, Horror, Social Commentary",No,Atria,2021,368,,Black,"Gaslighting, racism","Publishing, power, and paranoia"
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,BookTok,Alex,25-May,Dystopian arena justice back on trend,Algorithmic Popularity (General Virality),"Speculative, Dystopian, Thriller",No,Pantheon,2023,384,,Black,"Violence, carceral system",Inmates compete for freedom in a brutal system
Blood Debts,Terry J. Benton-Walker,BookTok,Alex,25-May,Magic + family + revenge in New Orleans,New Release Buzz,"Fantasy, Urban Fantasy, YA",Yes,Tor Teen,2023,416,,"Black,Queer","Family trauma, dark magic",Twins unlock generational curses
My Monticello,Jocelyn Nicole Johnson,BookTok,Alex,25-May,Post-racial collapse novella trending again,Algorithmic Popularity (General Virality),"Dystopian, Short Stories",No,Henry Holt,2021,224,,Black,"White supremacy, survival",A group of neighbors take refuge at Monticello
Symphony of Secrets,Brendan Slocumb,BookTok,Alex,25-May,Music + mystery + historical injustice,Algorithmic Popularity (General Virality),"Mystery, Historical, Music Lit",No,Anchor,2023,352,,Black,"Racism, plagiarism",A conductor uncovers the Black genius behind a symphony
Friday Black,Nana Kwame Adjei-Brenyah,BookTok,Alex,25-May,Short stories with sharp dystopian satire,Algorithmic Popularity (General Virality),"Dystopian, Satire, Speculative",No,Mariner,2018,208,,Black,"Violence, racism",Retail workers in a hyper-capitalist hell
The Free People’s Village,Sim Kern,BookTok,Alex,25-May,"Alt-history, queer uprisings, climate themes",Queer or Identity-Based Discovery,"Speculative, Political",No,Levine Querido,2023,304,,"Queer,Bipoc","Climate crisis, gentrification",Imagining liberation in a crumbling U.S.
"No Gods, No Monsters",Cadwell Turnbull,BookTok,Alex,25-May,Monsters-as-metaphor for systemic violence,Algorithmic Popularity (General Virality),"Speculative, Horror",Yes,Blackstone,2021,384,,"Black,Queer","Violence, trauma",A secret society of monsters emerges
Invisible Things,Mat Johnson,BookTok,Alex,25-May,Political satire w/ aliens + mind control,Algorithmic Popularity (General Virality),"Sci-Fi, Satire",No,One World,2022,304,,Black,Government control,A Black sociologist uncovers truth on a moon colony
The Conjure-Man Dies,Rudolph Fisher,BookTok,Alex,25-May,First Black detective novel resurges,Algorithmic Popularity (General Virality),"Mystery, Historical, Harlem Renaissance",No,Reissue,1932,240,,Black,Murder mystery,Harlem’s conjure-man is dead—who did it?
Lakewood,Megan Giddings,BookTok,Alex,25-May,Experimental horror resurfaces,Algorithmic Popularity (General Virality),"Horror, Speculative",No,Amistad,2020,304,,Black,Medical abuse,What happens when Black bodies are studied in secret?
They Come at Knight,Yasmin Angoe,BookTok,Alex,25-May,Assassin thriller returns to BookTok,Series Continuation Hype,"Thriller, Suspense",Yes,Thomas & Mercer,2022,352,,Black,"Death, espionage",Elite Ghanaian-American assassin vs global syndicate
The Gilda Stories,Jewelle Gomez,BookTok,Alex,25-May,Queer Black vampire feminist classic resurfaces,Queer or Identity-Based Discovery,"Speculative, Horror, Queer Lit",Yes,City Lights,1991,288,,"Queer,Black","Immortality, racism",A vampire thrives through centuries of survival
Blacktop Wasteland,S.A. Cosby,BookTok,Alex,25-May,Southern noir resurgence,Algorithmic Popularity (General Virality),"Thriller, Crime",Yes,Flatiron,2020,304,,Black,"Violence, poverty",A getaway driver is pulled back in
The Memory Librarian,Janelle Monáe,BookTok,Alex,25-May,Queer Afrofuturist anthology still trending,Queer or Identity-Based Discovery,"Sci-Fi, Short Stories",No,Harper Voyager,2022,336,,"Queer,Black","Surveillance, identity",Tales from the Dirty Computer universe
The Water Knife,Paolo Bacigalupi,BookTok,Alex,25-May,Climate sci-fi spikes with summer,Algorithmic Popularity (General Virality),"Sci-Fi, Dystopian, Thriller",No,Vintage,2015,384,,,,
The Berry Pickers,Amanda Peters,BookTok,Linda,25-Jan,Quiet rise through book clubs,Series Continuation Hype,"Historical Fiction, Family Drama",No,Catapult,2023,320,,Indigenous,Child disappearance,"A Mi’kmaq girl vanishes, echoing through decades"
The Mystery Guest,Nita Prose,BookTok,Linda,25-Jan,Cozy sequel to The Maid trending,Series Continuation Hype,"Cozy Mystery, Humor",Yes,Ballantine,2023,304,,Neurodiverse,"Death, light tension",Molly the maid is back — and the hotel’s in trouble
The Paris Library,Janet Skeslien Charles,BookTok,Linda,25-Jan,WWII book club fave resurging,Series Continuation Hype,"Historical Fiction, WWII, Literary",No,Atria,2021,368,,,"War, loss",Real-life librarians risked it all in Nazi-occupied Paris
The London Séance Society,Sarah Penner,BookTok,Linda,25-Jan,Gothic mystery w/ female leads,Dark Academia or Speculative Trend,"Historical Mystery, Occult",No,Park Row,2023,368,,,Murder,A spiritualist & a skeptic investigate a suspicious death
Killers of a Certain Age,Deanna Raybourn,BookTok,Linda,25-Jan,Cozy thriller with sass,Algorithmic Popularity (General Virality),"Cozy Mystery, Suspense",No,Berkley,2022,368,,Aging,Violence,Four retired female assassins strike back
The Thursday Murder Club,Richard Osman,BookTok,Linda,25-Jan,Cozy classic stays evergreen,Classic Revisit / Reprint Trend,"Cozy Mystery, Humor",Yes,Viking,2020,368,,Aging,"Murder, mischief",Senior sleuths solve cold cases in a retirement village
Remarkably Bright Creatures,Shelby Van Pelt,BookTok,Linda,25-Jan,Quiet fiction with animal wisdom,Algorithmic Popularity (General Virality),"Literary Fiction, Found Family",No,Ecco,2022,368,,,Grief,"An octopus, a widow, and a missing boy"
The Little Wartime Library,Kate Thompson,BookTok,Linda,25-Jan,WWII book club darling resurges,Series Continuation Hype,"Historical Fiction, Librarian Vibes",No,Grand Central,2022,432,,,"Bombings, grief",A secret library built underground during the Blitz
Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,BookTok,Linda,25-Jan,Cozy murder mystery + tea shop,Algorithmic Popularity (General Virality),"Cozy Mystery, Humor",No,Berkley,2023,368,,,A meddling tea shop owner solves a murder — her way,
The Housekeepers,Alex Hay,BookTok,Linda,25-Jan,Feminist Ocean’s 8 in Edwardian London,Algorithmic Popularity (General Virality),"Historical Fiction, Heist",No,Graydon House,2023,352,,,Class tension,The maids steal from the lords — perfectly
The Mitford Affair,Marie Benedict,BookTok,Linda,25-Jan,Literary historical sister drama,Algorithmic Popularity (General Virality),"Historical Fiction, Real People",No,Sourcebooks,2023,352,,,Fascism,"Three sisters, one scandalous loyalty to Hitler"
A Death in Door County,Annelise Ryan,BookTok,Linda,25-Jan,Cozy Midwest cryptid murder mystery,Algorithmic Popularity (General Virality),"Cozy Mystery, Folklore",Yes,Berkley,2022,352,,,"Mythical creatures, murder",A bookstore owner + death investigator track a lake monster
The Bookbinder,Pip Williams,BookTok,Linda,25-Jan,Gentle historical fiction + academia,Algorithmic Popularity (General Virality),"Historical, Literary",No,Ballantine,2022,416,,,"Gender, education limits",A poor girl binds books for Oxford’s elite
The Librarian of Burned Books,Brianna Labuskes,BookTok,Linda,25-Jan,Book ban themes + WWII backdrop,Series Continuation Hype,"Historical Fiction, Resistance",No,William Morrow,2023,384,,Jewish,Nazi regime,Female librarians defend banned books
West Heart Kill,Dann McDorman,BookTok,Linda,25-Jan,Meta mystery for Agatha Christie fans,Algorithmic Popularity (General Virality),"Mystery, Literary",No,Knopf,2023,304,,,Murder,A tongue-in-cheek locked room mystery with footnotes
The Secret Book of Flora Lea,Patti Callahan Henry,BookTok,Linda,25-Feb,WWII sister mystery gains traction,Algorithmic Popularity (General Virality),"Historical Fiction, Mystery",No,Atria,2023,368,,,"War, loss",Sisters separated during war by a secret fairytale
Mrs. Plansky’s Revenge,Spencer Quinn,BookTok,Linda,25-Feb,Older female protagonist & cozy crime,Algorithmic Popularity (General Virality),"Cozy Mystery, Humor",Yes,Forge,2023,320,,Aging,"Fraud, mild peril",A grandmother takes on identity thieves
The Lost Apothecary,Sarah Penner,BookTok,Linda,25-Feb,Book club favorite still trending,Series Continuation Hype,"Historical Mystery, Feminist Fiction",No,Park Row,2021,320,,,Murder,A secret apothecary helps women kill their oppressors
The Maid,Nita Prose,BookTok,Linda,25-Feb,Original cozy heroine resurging with sequel,Series Continuation Hype,"Cozy Mystery, Humor",Yes,Ballantine,2022,304,,Neurodiverse,"Death, awkward social moments",Molly the maid stumbles into a murder at work
The Bandit Queens,Parini Shroff,BookTok,Linda,25-Feb,Feminist dark comedy with heart,Algorithmic Popularity (General Virality),"Literary Fiction, Mystery, Humor",No,Ballantine,2023,352,,,Women in India team up to fake one husband’s death,
The Rose Code,Kate Quinn,BookTok,Linda,25-Feb,Historical fiction + secret code girls,Algorithmic Popularity (General Virality),"Historical, Spy Fiction",No,William Morrow,2021,656,,,"War, betrayal",Female codebreakers face love + espionage
A Quiet Life,Ethan Joella,BookTok,Linda,25-Feb,Gentle grief fiction rising again,Emotional/Trauma Themes,"Literary Fiction, Contemporary",No,Scribner,2022,288,,,Grief,Three people carry quiet losses through one snowy winter
The Book Charmer,Karen Hawkins,BookTok,Linda,25-Feb,Bookstore + magic = cozy win,Series Continuation Hype,"Magical Realism, Women’s Fiction",Yes,Gallery,2019,368,,,Loss,A librarian’s books whisper to her… literally
The Wishing Game,Meg Shaffer,BookTok,Linda,25-Feb,Literary Willy Wonka vibe goes viral,Algorithmic Popularity (General Virality),"Contemporary Fiction, Light Fantasy",No,Ballantine,2023,304,,,"Adoption, hardship",A reclusive author invites fans to a secret contest
The House in the Cerulean Sea,TJ Klune,BookTok,Linda,25-Feb,Wholesome fantasy still thriving,Algorithmic Popularity (General Virality),"Fantasy, Found Family",No,Tor,2020,400,,Queer,Orphanage setting,A caseworker visits magical misfits — and softens
The Love Scribe,Amy Meyerson,BookTok,Linda,25-Feb,Magical realist romance trending,Algorithmic Popularity (General Virality),"Magical Realism, Contemporary",No,Park Row,2023,352,,,None,A woman writes letters that cause people to fall in love
When the Moon Turns Blue,Pamela Terry,BookTok,Linda,25-Feb,Southern fiction with generational drama,Algorithmic Popularity (General Virality),"Literary Fiction, Historical",No,Ballantine,2024,384,,,Family tension,Secrets of the past resurface after a matriarch’s death
It Ends at Midnight,Harriet Tyce,BookTok,Linda,25-Feb,Legal thriller with slow-burn tension,Algorithmic Popularity (General Virality),"Legal Thriller, Women’s Fiction",No,Grand Central,2022,352,,,"Death, legal cases",Friends unravel in a courtroom twist ending
The Last Bookshop in London,Madeline Martin,BookTok,Linda,25-Feb,Book club WWII staple,Series Continuation Hype,"Historical Fiction, Bookshop Lit",No,Hanover Square,2021,320,,,Bombing,A woman saves lives and books during the Blitz
The Cracked Spine,Paige Shelton,BookTok,Linda,25-Feb,Scottish bookshop + murder = cozy,Series Continuation Hype,"Cozy Mystery, Books",Yes,Minotaur,2016,304,,,Light murder,A curious bookseller stumbles into Edinburgh’s secrets
The Lost and Found Bookshop,Susan Wiggs,BookTok,Linda,25-Mar,BookTok re-hype on comfort reads,Series Continuation Hype,"Women’s Fiction, Family",No,William Morrow,2020,368,,,"Inheritance, grief",A woman inherits her mother’s bookshop and its secrets
The Book Woman of Troublesome Creek,Kim Michele Richardson,BookTok,Linda,25-Mar,Blue-skinned heroine’s legacy trending again,Algorithmic Popularity (General Virality),"Historical Fiction, Appalachia",Yes,Sourcebooks,2019,320,,,"Racism, isolation",A Depression-era woman delivers books on horseback
The Reading List,Sara Nisha Adams,BookTok,Linda,25-Mar,Cross-generational library joy,Algorithmic Popularity (General Virality),"Literary Fiction, Found Family",No,Harper,2021,384,,South Asian,"Grief, loneliness",A shared book list transforms strangers into companions
"The Secret, Book & Scone Society",Ellery Adams,BookTok,Linda,25-Mar,Cozy mystery + bakery + trauma healing,Emotional/Trauma Themes,"Cozy Mystery, Women’s Fiction",Yes,Kensington,2017,304,,,"Abuse, friendship",A secretive woman joins a bibliotherapy book club
Someone Else’s Shoes,Jojo Moyes,BookTok,Linda,25-Mar,Humor + midlife shake-up vibes,Algorithmic Popularity (General Virality),"Contemporary Fiction, Humor",No,Pamela Dorman Books,2023,432,,,"Divorce, stress",Two women accidentally swap lives — and find freedom
The Garden of Small Beginnings,Abbi Waxman,BookTok,Linda,25-Mar,Gardening + healing = cozy vibe,Algorithmic Popularity (General Virality),"Women’s Fiction, Humor",No,Berkley,2017,368,,,Widowhood,A mom rediscovers joy through dirt and vegetables
Death at the Chateau Bremont,M.L. Longworth,BookTok,Linda,25-Mar,French countryside mystery resurging,Algorithmic Popularity (General Virality),"Cozy Mystery, Travel Lit",Yes,Penguin,2011,320,,,"Death, food","Provence, pastries, and a local death"
The Guncle,Steven Rowley,BookTok,Linda,25-Mar,Wholesome grief comedy still strong,Emotional/Trauma Themes,"Contemporary, Found Family",No,Putnam,2021,336,,Queer,"Loss, guardianship",A gay uncle cares for two kids after tragedy
Finlay Donovan Is Killing It,Elle Cosimano,BookTok,Linda,25-Mar,Accidental assassin still going viral,Algorithmic Popularity (General Virality),"Cozy Thriller, Comedy",Yes,Minotaur,2021,368,,,"Murder, dark humor",A mom is mistaken for a hitwoman — and plays along
The Storyteller’s Secret,Sejal Badani,BookTok,Linda,25-Mar,Historical India + family secrets,Algorithmic Popularity (General Virality),"Historical Fiction, Women’s Fiction",No,Lake Union,2018,390,,South Asian,Trauma,A New York woman discovers her mother’s hidden legacy
Meet Me at the Museum,Anne Youngson,BookTok,Linda,25-Mar,Quiet letter-writing novel trending,Algorithmic Popularity (General Virality),"Literary, Epistolary, Contemporary",No,Flatiron,2019,272,,,Grief,A farmer’s wife and museum curator trade letters and truths
The Marlow Murder Club,Robert Thorogood,BookTok,Linda,25-Mar,New cozy mystery buzz,New Release Buzz,"Cozy Mystery, Humor",Yes,Poisoned Pen,2023,336,,,"Death, comedy",Three older women solve crimes for fun
A Quiet Life in the Country,T.E. Kinsey,BookTok,Linda,25-Mar,Lady sleuths with Downton Abbey vibes,Algorithmic Popularity (General Virality),"Cozy Mystery, Historical",Yes,Thomas & Mercer,2016,296,,,Light murder,"1900s Britain, tea, gossip, and solving murders"
The Alice Network,Kate Quinn,BookTok,Linda,25-Mar,Dual timeline war fiction surging again,Algorithmic Popularity (General Virality),"Historical Fiction, Spy Lit",No,William Morrow,2017,528,,,"SA, war",Female spies during WWI and WWII
Before We Were Strangers,Renée Carlino,BookTok,Linda,25-Mar,Romance + second chances trending,Algorithmic Popularity (General Virality),"Romance, Women’s Fiction",No,Atria,2015,320,,,Longing,Two people reconnect after years apart
The Women,Kristin Hannah,BookTok,Linda,25-Apr,"Major book club hit, still trending",Series Continuation Hype,"Historical Fiction, War, Feminist Lit",No,St. Martin’s Press,2024,480,,,"War, sexism",A female combat nurse in Vietnam fights to be heard
The Keeper of Hidden Books,Madeline Martin,BookTok,Linda,25-Apr,Bookstores + resistance = big hit,Series Continuation Hype,"Historical Fiction, WWII",No,Hanover Square Press,2023,400,,Jewish,Nazi regime,A girl in Warsaw fights back with books
The Mostly True Story of Tanner & Louise,Colleen Oakley,BookTok,Linda,25-Apr,Odd-couple road trip surging in cozy circles,Algorithmic Popularity (General Virality),"Contemporary Fiction, Humor",No,Berkley,2023,352,,Aging,None,A grandma may (or may not) be a jewel thief
The Last Lifeboat,Hazel Gaynor,BookTok,Linda,25-Apr,Heart-tugging WWII survival tale resurging,Algorithmic Popularity (General Virality),"Historical Fiction, Maritime",No,William Morrow,2023,400,,,"War, loss",Two women try to protect children across the Atlantic
The Second Life of Mirielle West,Amanda Skenandore,BookTok,Linda,25-Apr,Lesser-known historical gem trending,Algorithmic Popularity (General Virality),"Historical Fiction, Medical",No,Kensington,2021,368,,,"Leprosy, isolation",A socialite is exiled to a leper colony in 1920s Louisiana
The Widows of Champagne,Renée Ryan,BookTok,Linda,25-Apr,WWII vineyard family drama trending again,Algorithmic Popularity (General Virality),"Historical Fiction, Family Saga",No,Love Inspired,2021,352,,,"War, death",A French family hides Jewish refugees — and their legacy
Fifty Words for Rain,Asha Lemmie,BookTok,Linda,25-Apr,Literary tearjerker resurges,Algorithmic Popularity (General Virality),"Historical Fiction, Coming of Age",No,Dutton,2020,464,,Multiracial,"Abuse, racism",A biracial girl is cast out in postwar Japan
Eliza Starts a Rumor,Jane L. Rosen,BookTok,Linda,25-Apr,Suburban drama + redemption arc,Algorithmic Popularity (General Virality),"Contemporary, Women’s Fiction",No,Berkley,2020,352,,,Marital issues,A rumor rocks a mom group — and changes lives
Florence Adler Swims Forever,Rachel Beanland,BookTok,Linda,25-Apr,Secret-keeping family drama resurging,Algorithmic Popularity (General Virality),"Historical Fiction, Jewish Fiction",No,Simon & Schuster,2020,320,,Jewish,"Grief, tragedy",A family hides a daughter’s death from her pregnant sister
A Man Called Ove,Fredrik Backman,BookTok,Linda,25-Apr,Wholesome grump-to-softie staple,Algorithmic Popularity (General Virality),"Contemporary, Found Family",Yes,Atria,2012,337,,Swedish,Suicide ideation,A cranky old man is reluctantly pulled into community
The Secret Keeper,Kate Morton,BookTok,Linda,25-Apr,Literary suspense with a WWII twist,Algorithmic Popularity (General Virality),"Historical Fiction, Mystery",No,Atria,2012,484,,,"Secrets, war",A daughter uncovers her mother’s hidden past
The Light Between Oceans,M.L. Stedman,BookTok,Linda,25-Apr,Heartbreaking historical drama resurging,Algorithmic Popularity (General Virality),"Historical Fiction, Romance",No,Scribner,2012,343,,,Child loss,A lighthouse keeper and wife keep a baby that isn't theirs
The Authenticity Project,Clare Pooley,BookTok,Linda,25-Apr,Feel-good novel about honesty + connection,Algorithmic Popularity (General Virality),"Contemporary Fiction, Feel-Good",No,Pamela Dorman Books,2020,368,,,"Addiction, loneliness",Strangers share their truths in a green notebook
The Reading List,Sara Nisha Adams,BookTok,Linda,25-Apr,Still trending — multigen friendship vibe,Algorithmic Popularity (General Virality),"Contemporary Fiction, Found Family",No,Harper,2021,384,,South Asian,"Grief, depression",Books connect a grieving widower and lonely teen
The Sweeney Sisters,Lian Dolan,BookTok,Linda,25-Apr,Sisterhood + literary scandal resurging,Algorithmic Popularity (General Virality),"Contemporary Fiction, Family Drama",No,William Morrow,2020,304,,,"Loss, secrets",Three sisters learn they had a secret sibling
The Giver of Stars,Jojo Moyes,BookTok,Linda,25-May,Depression-era horseback librarians trending again,Algorithmic Popularity (General Virality),"Historical Fiction, Women’s Fiction",No,Pamela Dorman Books,2019,400,,,Gender inequality,Five women form a mobile library in rural Kentucky
The Secret Life of Violet Grant,Beatriz Williams,BookTok,Linda,25-May,Dual timeline historical drama resurging,Algorithmic Popularity (General Virality),"Historical Fiction, Romance, Mystery",No,Berkley,2014,432,,,"Infidelity, sexism",A young journalist uncovers a family scandal
Mrs. Everything,Jennifer Weiner,BookTok,Linda,25-May,Big publishing staple continues trending,Algorithmic Popularity (General Virality),"Literary Fiction, Feminist",No,Atria,2019,480,,Jewish,"SA, abuse",Two sisters navigate decades of social change
Murder in an Irish Village,Carlene O’Connor,BookTok,Linda,25-May,Cozy small-town mystery goes viral,Algorithmic Popularity (General Virality),"Cozy Mystery, Irish Fiction",Yes,Kensington,2016,304,,Irish,Death,A bickering sibling duo solves a local murder
The Chicken Sisters,KJ Dell’Antonia,BookTok,Linda,25-May,Family drama + fried chicken feud = viral,Algorithmic Popularity (General Virality),"Contemporary Fiction, Humor",No,Berkley,2020,352,,,Family tension,Two sisters battle for their chicken joint on reality TV
The Librarian of Auschwitz,Antonio Iturbe,BookTok,Linda,25-May,Heartbreaking WWII true story resurging,Algorithmic Popularity (General Virality),"Historical Fiction, Holocaust Lit",No,Henry Holt,2017,432,,Jewish,"War, death, trauma",A young girl preserves books in a concentration camp
The Bookshop on the Corner,Jenny Colgan,BookTok,Linda,25-May,Scottish romance + book van goes viral,Series Continuation Hype,"Contemporary Romance, Bookshop Lit",Yes,Harper,2016,368,,,Mild romance,A woman restarts life by opening a bookshop in the Highlands
The Two Lives of Lydia Bird,Josie Silver,BookTok,Linda,25-May,Sad but cozy romance novel resurging,Algorithmic Popularity (General Virality),"Contemporary Romance, Magical Realism",No,Ballantine,2020,400,,,"Grief, loss",A grieving woman wakes up in a parallel life where he lived
Evvie Drake Starts Over,Linda Holmes,BookTok,Linda,25-May,NPR-backed feel-good romance resurges,Algorithmic Popularity (General Virality),"Contemporary Fiction, Romance",No,Ballantine,2019,304,,,"Widowhood, life transitions",A reclusive widow rents out space to a failing MLB pitcher
The Housemaid,Freida McFadden,BookTok,Linda,25-May,Thriller-lite readers dipping into BookTok buzz,Series Continuation Hype,"Domestic Suspense, Thriller",Yes,Bookouture,2022,336,,,"Gaslighting, twists",A maid uncovers her employer’s deadly secrets
The Cloisters,Katy Hays,BookTok,Linda,25-May,Dark academia lite + tarot + book club friendly,Series Continuation Hype,"Literary Mystery, Speculative",No,Atria,2022,320,,,Occult imagery,An intern uncovers a sinister deck of cards at a museum
The Summer Book,Tove Jansson,BookTok,Linda,25-May,Classic Scandinavian cozy literature resurges,Classic Revisit / Reprint Trend,"Literary Fiction, Slice of Life",No,NYRB Classics,1972,184,,Finnish,"Aging, family",A grandmother and granddaughter wander a summer island
The Secrets We Kept,Lara Prescott,BookTok,Linda,25-May,Cold War female spy story resurging,Algorithmic Popularity (General Virality),"Historical Fiction, Espionage",No,Knopf,2019,368,,,"Torture, propaganda",CIA women smuggle Doctor Zhivago out of Russia
A Single Thread,Tracy Chevalier,BookTok,Linda,25-May,Crafting + independence = quiet trend,Algorithmic Popularity (General Virality),"Historical Fiction, Women's Lit",No,Viking,2019,336,,,"Grief, societal pressure",A single woman finds purpose in cathedral embroidery
The Mitford Scandal,Jessica Fellowes,BookTok,Linda,25-May,Royal-adjacent cozy murder mystery resurging,Algorithmic Popularity (General Virality),"Historical Mystery, British Society",Yes,Minotaur,2020,384,,,"Classism, death",One of the famous Mitford sisters gets caught in a murder
Juliet Takes a Breath (Graphic Novel),"Gabby Rivera, Celia Moscote",BookTok,Toni,25-Jan,Queer Latinx classic re-trending in graphic form,Queer or Identity-Based Discovery,"Graphic Novel, Queer Coming of Age",No,BOOM! Studios,2019,180,,"Latina,Queer","Identity, racism",Bronx-born Juliet finds herself (and queerness) in Portland
The Memory Librarian,Janelle Monáe et al.,BookTok,Toni,25-Jan,Still trending in soft alt queer circles,Queer or Identity-Based Discovery,"Speculative Fiction, Short Stories",No,Harper Voyager,2022,336,,,Afrofuturist short stories set in Monáe’s Dirty Computer world,
Each of Us a Desert,Mark Oshiro,BookTok,Toni,25-Jan,Queer magical realism resurging,Queer or Identity-Based Discovery,"Magical Realism, Queer SFF",No,Tor Teen,2020,416,,"Queer,Latinx","Grief, isolation",A girl wanders deserts and memory with a heavy soul
Boys Weekend,Mattie Lubchansky,BookTok,Toni,25-Jan,Fever dream graphic novel surging in alt queer spaces,Queer or Identity-Based Discovery,"Graphic Novel, Satire, Trans Lit",No,Pantheon,2023,208,,,A trans bachelorette weekend spirals into dystopia,
Cemetery Boys,Aiden Thomas,BookTok,Toni,25-Jan,Latinx trans romance continues trending,Algorithmic Popularity (General Virality),"YA, Paranormal, Romance",No,Swoon Reads,2020,352,,"Trans,Latinx","Death, grief",A boy summons a ghost… and falls in love with him
The Magic Fish,Trung Le Nguyen,BookTok,Toni,25-Jan,Heartbreaking queer fairytale GN still viral,Queer or Identity-Based Discovery,"Graphic Novel, Coming of Age",No,Random House,2020,256,,,"A Vietnamese boy navigates family, love, and fairytales",
Gods of Want,K-Ming Chang,BookTok,Toni,25-Jan,Bizarre short fiction trending again,Algorithmic Popularity (General Virality),"Magical Realism, Queer, Speculative",No,One World,2022,224,,,Lyrical stories that slip between myth and queerness,
The Daughters of Nri,Reni K. Amayo,BookTok,Toni,25-Jan,African mythology + queer energy resurging,Queer or Identity-Based Discovery,"Fantasy, Mythic SFF",Yes,Onwe,2019,400,,Black,"Violence, war",Twin goddesses rediscover magic in precolonial Africa
A Hundred Vicious Turns,Lee Paige O’Brien,BookTok,Toni,25-Jan,Queer dark academia fantasy gaining traction,Dark Academia or Speculative Trend,"YA Fantasy, Romance, Mystery",Yes,Labyrinth Road,2023,416,,,"Magical university, mystery, and queer longing",
Nimona,ND Stevenson,BookTok,Toni,25-Jan,Netflix adaptation keeps this viral,Adaptation or Movie Tie-In,"Graphic Novel, Sci-Fi Fantasy",No,HarperTeen,2015,272,,Queer,"Death, identity",A shapeshifting teen joins a villain in chaos & healing
Sabrina & Corina,Kali Fajardo-Anstine,BookTok,Toni,25-Jan,Latinx feminist short stories resurging,Algorithmic Popularity (General Virality),"Literary Fiction, Short Stories",No,One World,2019,224,,,"Chicana women face love, loss, and generational memory",
Wash Day Diaries,Jamila Rowser & Robyn Smith,BookTok,Toni,25-Jan,Graphic novel + soft aesthetic + Black girl joy,Algorithmic Popularity (General Virality),"Graphic Novel, Slice of Life",No,Chronicle Books,2021,128,,,"Five friends bond over love, hair care, and softness",
Light from Uncommon Stars,Ryka Aoki,BookTok,Toni,25-Jan,Queer sci-fi + violin demons still trending,Queer or Identity-Based Discovery,"Sci-Fi, Queer Lit, Fantasy",No,Tor,2021,384,,,"A runaway violinist, a trans girl, and a cursed mentor",
The Wicked Bargain,Gabe Cole Novoa,BookTok,Toni,25-Jan,Queer Latine pirate fantasy on the rise,Queer or Identity-Based Discovery,"YA Fantasy, Queer SFF",No,Balzer + Bray,2023,336,,"Sea Magic,Deals With The Devil",A trans boy tries to undo his father’s cursed pact,
Julia (Graphic Novel),Sandra Lucario & Leela Corman,BookTok,Toni,25-Jan,New alt-feminist GN release gaining traction,New Release Buzz,"Graphic Novel, Literary Queer Fiction",No,Small Press,2025,,,,,
The Prince and the Dressmaker,Jen Wang,BookTok,Toni,25-Feb,Queer GN regains momentum with cosplay creators,Queer or Identity-Based Discovery,"Graphic Novel, Historical Queer Lit",No,First Second,2018,288,,"Queer,Aapi",Gender secrecy,A prince moonlights in gowns designed by his best friend
Blanca & Roja,Anna-Marie McLemore,BookTok,Toni,25-Feb,Latinx magical realism still thriving,Algorithmic Popularity (General Virality),"Magical Realism, Queer Fairy Tale",No,Feiwel & Friends,2018,384,,"Latinx,Queer","Curses, transformation",Sisters caught in a family swan curse
Funeral Girl,Emma K. Ohland,BookTok,Toni,25-Feb,Quiet YA grief book with sapphic undertones trending,Series Continuation Hype,"YA Contemporary, Magical Realism",No,Lerner,2023,288,,,A girl who can see the dead works in her mom’s funeral home,
Taproot,Keezy Young,BookTok,Toni,25-Feb,Soft boy ghost romance continues glowing,Algorithmic Popularity (General Virality),"Graphic Novel, Queer Romance",No,Oni Press,2017,128,,,A gardener and a ghost fall in love between worlds,
